travel_date,apix_observed,apix_7d_moving_avg,dgca_benchmark,deviation_points,deviation_pct,confidence_tier
2026-08-11,146.7,146.7,146.0,0.7,0.48,Within 2% (Tight Alignment)
2026-08-12,144.24,145.47,144.88,-0.64,-0.44,Within 2% (Tight Alignment)
2026-08-13,145.31,145.42,144.96,0.35,0.24,Within 2% (Tight Alignment)
2026-08-14,149.81,146.52,147.58,2.23,1.51,Within 2% (Tight Alignment)
2026-08-15,150.85,147.38,150.38,0.47,0.31,Within 2% (Tight Alignment)
2026-08-16,150.05,147.83,149.85,0.2,0.13,Within 2% (Tight Alignment)
2026-08-17,154.54,148.79,151.46,3.08,2.03,Within 4% (Acceptable Band)
2026-08-18,149.97,149.25,148.9,1.07,0.72,Within 2% (Tight Alignment)
2026-08-19,146.67,149.6,147.78,-1.11,-0.75,Within 2% (Tight Alignment)
2026-08-20,148.06,149.99,147.85,0.21,0.14,Within 2% (Tight Alignment)
2026-08-21,149.93,150.01,150.48,-0.55,-0.37,Within 2% (Tight Alignment)
2026-08-22,153.42,150.38,153.27,0.15,0.1,Within 2% (Tight Alignment)
2026-08-23,153.61,150.89,152.75,0.86,0.56,Within 2% (Tight Alignment)
2026-08-24,152.55,150.6,154.35,-1.8,-1.17,Within 2% (Tight Alignment)
2026-08-25,149.38,150.52,151.79,-2.41,-1.59,Within 2% (Tight Alignment)
2026-08-26,149.44,150.91,150.68,-1.24,-0.82,Within 2% (Tight Alignment)
2026-08-27,148.78,151.02,150.75,-1.97,-1.31,Within 2% (Tight Alignment)
2026-08-28,153.91,151.59,153.37,0.54,0.35,Within 2% (Tight Alignment)
2026-08-29,155.7,151.91,156.17,-0.47,-0.3,Within 2% (Tight Alignment)
2026-08-30,154.19,151.99,155.65,-1.46,-0.94,Within 2% (Tight Alignment)
2026-08-31,160.18,153.08,157.25,2.93,1.86,Within 2% (Tight Alignment)
2026-09-01,154.37,153.8,154.69,-0.32,-0.21,Within 2% (Tight Alignment)
2026-09-02,153.22,154.34,153.57,-0.35,-0.23,Within 2% (Tight Alignment)
2026-09-03,151.1,154.67,153.65,-2.55,-1.66,Within 2% (Tight Alignment)
2026-09-04,155.61,154.91,156.27,-0.66,-0.42,Within 2% (Tight Alignment)
2026-09-05,160.02,155.53,159.06,0.96,0.6,Within 2% (Tight Alignment)
2026-09-06,157.46,155.99,158.54,-1.08,-0.68,Within 2% (Tight Alignment)
2026-09-07,161.55,156.19,160.15,1.4,0.87,Within 2% (Tight Alignment)
2026-09-08,156.75,156.53,157.59,-0.84,-0.53,Within 2% (Tight Alignment)
2026-09-09,155.61,156.87,156.47,-0.86,-0.55,Within 2% (Tight Alignment)
