record_id,search_timestamp,travel_date,lead_time_days,source_platform,origin_iata,dest_iata,route,origin_raw,dest_raw,airline_standardized,airline_raw,flight_number,departure_time,arrival_time,duration_minutes,duration_raw,cabin_class,total_fare_inr,base_fare_inr,fuel_surcharge_inr,udf_psf_inr,gst_inr,convenience_fee_inr,taxes_fees_inr,is_nonstop,stops_count,stop_info,raw_hash
SCR_GF_1789117502_001,2026-09-11 14:34:56,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 310,11:00 PM,1:25 AM,145,2 hr 25 min,Economy,6314.0,3629.26,1707.88,710.0,266.86,0.0,2684.74,True,0,Non-Stop,a982fdd26790
SCR_GF_1789117502_002,2026-09-11 14:34:56,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 337,6:00 PM,8:15 PM,135,2 hr 15 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,5fd32ca49f2e
SCR_GF_1789117502_003,2026-09-11 14:34:56,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Akasa Air,Akasa Air,QP 364,4:00 PM,6:20 PM,140,2 hr 20 min,Economy,6880.0,3995.81,1880.38,710.0,293.81,0.0,2884.19,True,0,Non-Stop,496b3f6142ed
SCR_GF_1789117502_004,2026-09-11 14:34:56,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 391,5:00 AM,7:20 AM,140,2 hr 20 min,Economy,6314.0,3629.26,1707.88,710.0,266.86,0.0,2684.74,True,0,Non-Stop,a738804098a2
SCR_GF_1789117502_005,2026-09-11 14:34:56,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 418,6:05 AM,8:20 AM,135,2 hr 15 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,1a179b699c5b
SCR_GF_1789117503_006,2026-09-11 14:34:56,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 445,7:15 AM,9:30 AM,135,2 hr 15 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,c8e8deae7daa
SCR_GF_1789117503_007,2026-09-11 14:34:56,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 472,2:00 PM,4:25 PM,145,2 hr 25 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,ae643b29b28e
SCR_GF_1789117503_008,2026-09-11 14:34:56,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 499,2:45 PM,5:00 PM,135,2 hr 15 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,4880d7b44546
SCR_GF_1789117503_009,2026-09-11 14:34:56,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 526,3:30 PM,5:45 PM,135,2 hr 15 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,f2def2361127
SCR_GF_1789117503_010,2026-09-11 14:34:56,2026-09-12,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 553,4:15 PM,6:35 PM,140,2 hr 20 min,Economy,6425.0,3701.14,1741.72,710.0,272.14,0.0,2723.86,True,0,Non-Stop,02c1c0d6ee06
