base_year,series,year,month,state,sector,division,group,class,sub_class,item,code,index,inflation,imputation
2024,Current,2026,July,All India,Combined,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,125.46,22.94,N
2024,Current,2026,June,All India,Combined,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,126.09,10.14,N
2024,Current,2026,May,All India,Combined,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,127.62,15.06,N
2024,Current,2026,April,All India,Combined,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,123.27,11.11,N
2024,Current,2026,March,All India,Combined,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,123.55,14.2,N
2024,Current,2026,February,All India,Combined,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,122.43,-7.01,N
2024,Current,2026,January,All India,Combined,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,122.71,6.65,N
2024,Current,2025,December,All India,Combined,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,124.23,,N
2024,Current,2025,November,All India,Combined,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,121.45,,N
2024,Current,2025,October,All India,Combined,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,108.19,,N
2024,Current,2025,September,All India,Combined,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,105.22,,N
2024,Current,2025,August,All India,Combined,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,112.11,,N
2024,Current,2025,July,All India,Combined,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,102.05,,N
2024,Current,2025,June,All India,Combined,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,114.48,,N
2024,Current,2025,May,All India,Combined,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,110.92,,N
2024,Current,2025,April,All India,Combined,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,110.94,,N
2024,Current,2025,March,All India,Combined,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,108.19,,N
2024,Current,2025,February,All India,Combined,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,131.66,,N
2024,Current,2025,January,All India,Combined,Transport,Passenger transport services,Passenger transport by air,"Passenger transport by air, domestic",Airfare,07.3.3.1.2.01,115.05,,N
