source_file,dataset_tier,origin_raw,origin_iata,dest_raw,dest_iata,route,airline_raw,airline_standardized,flight_number,travel_date,departure_time,arrival_time,duration_raw,duration_minutes,cabin_class,total_fare_inr,base_fare_inr,taxes_fees_inr,search_timestamp,lead_time_days,is_defunct_carrier
Data_Train.csv,2019_historical_precovid,Banglore,BLR,New Delhi,DEL,BLR-DEL,IndiGo,IndiGo,,2019-03-24,22:20,,,,Economy,3897.0,,,,,False
Data_Train.csv,2019_historical_precovid,Kolkata,CCU,Banglore,BLR,CCU-BLR,Air India,Air India,,2019-05-01,05:50,,,,Economy,7662.0,,,,,False
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,Jet Airways,Jet Airways,,2019-06-09,09:25,,,,Economy,13882.0,,,,,True
Data_Train.csv,2019_historical_precovid,Kolkata,CCU,Banglore,BLR,CCU-BLR,IndiGo,IndiGo,,2019-05-12,18:05,,,,Economy,6218.0,,,,,False
Data_Train.csv,2019_historical_precovid,Banglore,BLR,New Delhi,DEL,BLR-DEL,IndiGo,IndiGo,,2019-03-01,16:50,,,,Economy,13302.0,,,,,False
Data_Train.csv,2019_historical_precovid,Kolkata,CCU,Banglore,BLR,CCU-BLR,SpiceJet,SpiceJet,,2019-06-24,09:00,,,,Economy,3873.0,,,,,False
Data_Train.csv,2019_historical_precovid,Banglore,BLR,New Delhi,DEL,BLR-DEL,Jet Airways,Jet Airways,,2019-03-12,18:55,,,,Economy,11087.0,,,,,True
Data_Train.csv,2019_historical_precovid,Banglore,BLR,New Delhi,DEL,BLR-DEL,Jet Airways,Jet Airways,,2019-03-01,08:00,,,,Economy,22270.0,,,,,True
Data_Train.csv,2019_historical_precovid,Banglore,BLR,New Delhi,DEL,BLR-DEL,Jet Airways,Jet Airways,,2019-03-12,08:55,,,,Economy,11087.0,,,,,True
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,Multiple carriers,Multiple Carriers,,2019-05-27,11:25,,,,Economy,8625.0,,,,,False
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,Air India,Air India,,2019-06-01,09:45,,,,Economy,8907.0,,,,,False
Data_Train.csv,2019_historical_precovid,Kolkata,CCU,Banglore,BLR,CCU-BLR,IndiGo,IndiGo,,2019-04-18,20:20,,,,Economy,4174.0,,,,,False
Data_Train.csv,2019_historical_precovid,Chennai,MAA,Kolkata,CCU,MAA-CCU,Air India,Air India,,2019-06-24,11:40,,,,Economy,4667.0,,,,,False
Data_Train.csv,2019_historical_precovid,Kolkata,CCU,Banglore,BLR,CCU-BLR,Jet Airways,Jet Airways,,2019-05-09,21:10,,,,Economy,9663.0,,,,,True
Data_Train.csv,2019_historical_precovid,Kolkata,CCU,Banglore,BLR,CCU-BLR,IndiGo,IndiGo,,2019-04-24,17:15,,,,Economy,4804.0,,,,,False
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,Air India,Air India,,2019-03-03,16:40,,,,Economy,14011.0,,,,,False
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,SpiceJet,SpiceJet,,2019-04-15,08:45,,,,Economy,5830.0,,,,,False
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,Jet Airways,Jet Airways,,2019-06-12,14:00,,,,Economy,10262.0,,,,,True
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,Air India,Air India,,2019-06-12,20:15,,,,Economy,13381.0,,,,,False
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,Jet Airways,Jet Airways,,2019-05-27,16:00,,,,Economy,12898.0,,,,,True
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,GoAir,GoAir,,2019-03-06,14:10,,,,Economy,19495.0,,,,,True
Data_Train.csv,2019_historical_precovid,Banglore,BLR,New Delhi,DEL,BLR-DEL,Air India,Air India,,2019-03-21,22:00,,,,Economy,6955.0,,,,,False
Data_Train.csv,2019_historical_precovid,Banglore,BLR,Delhi,DEL,BLR-DEL,IndiGo,IndiGo,,2019-04-03,04:00,,,,Economy,3943.0,,,,,False
Data_Train.csv,2019_historical_precovid,Banglore,BLR,Delhi,DEL,BLR-DEL,IndiGo,IndiGo,,2019-05-01,18:55,,,,Economy,4823.0,,,,,False
Data_Train.csv,2019_historical_precovid,Kolkata,CCU,Banglore,BLR,CCU-BLR,Jet Airways,Jet Airways,,2019-05-06,18:55,,,,Economy,7757.0,,,,,True
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,Jet Airways,Jet Airways,,2019-06-09,21:25,,,,Economy,13292.0,,,,,True
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,IndiGo,IndiGo,,2019-06-01,21:50,,,,Economy,8238.0,,,,,False
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,GoAir,GoAir,,2019-05-15,07:00,,,,Economy,7682.0,,,,,True
Data_Train.csv,2019_historical_precovid,Banglore,BLR,Delhi,DEL,BLR-DEL,Vistara,Vistara,,2019-06-18,09:45,,,,Economy,4668.0,,,,,False
Data_Train.csv,2019_historical_precovid,Chennai,MAA,Kolkata,CCU,MAA-CCU,Vistara,Vistara,,2019-06-15,07:05,,,,Economy,3687.0,,,,,False
Data_Train.csv,2019_historical_precovid,Chennai,MAA,Kolkata,CCU,MAA-CCU,Vistara,Vistara,,2019-06-18,07:05,,,,Economy,3687.0,,,,,False
Data_Train.csv,2019_historical_precovid,Kolkata,CCU,Banglore,BLR,CCU-BLR,Air India,Air India,,2019-05-01,09:50,,,,Economy,13227.0,,,,,False
Data_Train.csv,2019_historical_precovid,Banglore,BLR,Delhi,DEL,BLR-DEL,IndiGo,IndiGo,,2019-04-06,04:00,,,,Economy,4423.0,,,,,False
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,Jet Airways,Jet Airways,,2019-06-15,14:35,,,,Economy,10919.0,,,,,True
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,Jet Airways,Jet Airways,,2019-05-18,07:05,,,,Economy,12373.0,,,,,True
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,IndiGo,IndiGo,,2019-06-27,10:35,,,,Economy,5894.0,,,,,False
Data_Train.csv,2019_historical_precovid,Kolkata,CCU,Banglore,BLR,CCU-BLR,SpiceJet,SpiceJet,,2019-05-21,15:05,,,,Economy,4649.0,,,,,False
Data_Train.csv,2019_historical_precovid,Kolkata,CCU,Banglore,BLR,CCU-BLR,Air India,Air India,,2019-05-18,14:15,,,,Economy,6245.0,,,,,False
Data_Train.csv,2019_historical_precovid,Banglore,BLR,New Delhi,DEL,BLR-DEL,Jet Airways,Jet Airways,,2019-03-06,07:00,,,,Economy,19225.0,,,,,True
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,Jet Airways,Jet Airways,,2019-06-03,07:05,,,,Economy,14924.0,,,,,True
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,Multiple carriers,Multiple Carriers,,2019-05-21,07:05,,,,Economy,9646.0,,,,,False
Data_Train.csv,2019_historical_precovid,Banglore,BLR,New Delhi,DEL,BLR-DEL,Air India,Air India,,2019-03-15,06:45,,,,Economy,8714.0,,,,,False
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,Jet Airways,Jet Airways,,2019-05-18,20:55,,,,Economy,12373.0,,,,,True
Data_Train.csv,2019_historical_precovid,Banglore,BLR,Delhi,DEL,BLR-DEL,Air Asia,AirAsia India,,2019-05-06,11:10,,,,Economy,3383.0,,,,,False
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,Multiple carriers,Multiple Carriers,,2019-03-21,09:00,,,,Economy,13062.0,,,,,False
Data_Train.csv,2019_historical_precovid,Banglore,BLR,New Delhi,DEL,BLR-DEL,SpiceJet,SpiceJet,,2019-03-24,05:45,,,,Economy,3527.0,,,,,False
Data_Train.csv,2019_historical_precovid,Banglore,BLR,Delhi,DEL,BLR-DEL,IndiGo,IndiGo,,2019-05-27,04:00,,,,Economy,3943.0,,,,,False
Data_Train.csv,2019_historical_precovid,Chennai,MAA,Kolkata,CCU,MAA-CCU,Air India,Air India,,2019-05-03,11:40,,,,Economy,4667.0,,,,,False
Data_Train.csv,2019_historical_precovid,Kolkata,CCU,Banglore,BLR,CCU-BLR,Air India,Air India,,2019-05-15,19:00,,,,Economy,6117.0,,,,,False
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,Jet Airways,Jet Airways,,2019-06-27,23:05,,,,Economy,11150.0,,,,,True
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,Jet Airways,Jet Airways,,2019-03-09,11:00,,,,Economy,7202.0,,,,,True
Data_Train.csv,2019_historical_precovid,Kolkata,CCU,Banglore,BLR,CCU-BLR,Jet Airways,Jet Airways,,2019-05-01,09:35,,,,Economy,12121.0,,,,,True
Data_Train.csv,2019_historical_precovid,Banglore,BLR,New Delhi,DEL,BLR-DEL,IndiGo,IndiGo,,2019-03-24,22:20,,,,Economy,4377.0,,,,,False
Data_Train.csv,2019_historical_precovid,Banglore,BLR,Delhi,DEL,BLR-DEL,IndiGo,IndiGo,,2019-06-18,21:15,,,,Economy,3943.0,,,,,False
Data_Train.csv,2019_historical_precovid,Banglore,BLR,Delhi,DEL,BLR-DEL,Air Asia,AirAsia India,,2019-04-03,23:55,,,,Economy,4483.0,,,,,False
Data_Train.csv,2019_historical_precovid,Kolkata,CCU,Banglore,BLR,CCU-BLR,Jet Airways,Jet Airways,,2019-03-24,19:45,,,,Economy,14231.0,,,,,True
Data_Train.csv,2019_historical_precovid,Banglore,BLR,New Delhi,DEL,BLR-DEL,Air India,Air India,,2019-03-01,08:50,,,,Economy,17345.0,,,,,False
Data_Train.csv,2019_historical_precovid,Chennai,MAA,Kolkata,CCU,MAA-CCU,Vistara,Vistara,,2019-03-06,07:05,,,,Economy,7414.0,,,,,False
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,Multiple carriers,Multiple Carriers,,2019-05-06,19:00,,,,Economy,8073.0,,,,,False
Data_Train.csv,2019_historical_precovid,Mumbai,BOM,Hyderabad,HYD,BOM-HYD,Vistara,Vistara,,2019-03-06,15:40,,,,Economy,12395.0,,,,,False
Data_Train.csv,2019_historical_precovid,Kolkata,CCU,Banglore,BLR,CCU-BLR,Air India,Air India,,2019-06-06,09:25,,,,Economy,8366.0,,,,,False
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,Air India,Air India,,2019-04-03,06:05,,,,Economy,5117.0,,,,,False
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,Multiple carriers,Multiple Carriers,,2019-06-03,08:45,,,,Economy,12524.0,,,,,False
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,IndiGo,IndiGo,,2019-05-15,15:00,,,,Economy,7191.0,,,,,False
Data_Train.csv,2019_historical_precovid,Chennai,MAA,Kolkata,CCU,MAA-CCU,Vistara,Vistara,,2019-05-24,07:05,,,,Economy,3687.0,,,,,False
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,IndiGo,IndiGo,,2019-06-24,10:35,,,,Economy,5894.0,,,,,False
Data_Train.csv,2019_historical_precovid,Banglore,BLR,Delhi,DEL,BLR-DEL,Vistara,Vistara,,2019-04-24,09:45,,,,Economy,5403.0,,,,,False
Data_Train.csv,2019_historical_precovid,Mumbai,BOM,Hyderabad,HYD,BOM-HYD,Air India,Air India,,2019-05-06,13:55,,,,Economy,3625.0,,,,,False
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,Air India,Air India,,2019-05-21,05:55,,,,Economy,10861.0,,,,,False
Data_Train.csv,2019_historical_precovid,Chennai,MAA,Kolkata,CCU,MAA-CCU,IndiGo,IndiGo,,2019-03-12,13:20,,,,Economy,6297.0,,,,,False
Data_Train.csv,2019_historical_precovid,Mumbai,BOM,Hyderabad,HYD,BOM-HYD,Jet Airways,Jet Airways,,2019-06-01,07:05,,,,Economy,5678.0,,,,,True
Data_Train.csv,2019_historical_precovid,Banglore,BLR,New Delhi,DEL,BLR-DEL,Jet Airways,Jet Airways,,2019-03-09,05:45,,,,Economy,9134.0,,,,,True
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,Multiple carriers,Multiple Carriers,,2019-06-24,11:40,,,,Economy,10791.0,,,,,False
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,Jet Airways,Jet Airways,,2019-06-24,23:05,,,,Economy,12819.0,,,,,True
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,IndiGo,IndiGo,,2019-03-21,05:05,,,,Economy,6893.0,,,,,False
Data_Train.csv,2019_historical_precovid,Banglore,BLR,New Delhi,DEL,BLR-DEL,Vistara,Vistara,,2019-03-09,09:50,,,,Economy,7240.0,,,,,False
Data_Train.csv,2019_historical_precovid,Banglore,BLR,Delhi,DEL,BLR-DEL,GoAir,GoAir,,2019-04-03,11:40,,,,Economy,3898.0,,,,,True
Data_Train.csv,2019_historical_precovid,Mumbai,BOM,Hyderabad,HYD,BOM-HYD,IndiGo,IndiGo,,2019-04-03,06:25,,,,Economy,4049.0,,,,,False
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,Jet Airways,Jet Airways,,2019-06-15,17:30,,,,Economy,10262.0,,,,,True
Data_Train.csv,2019_historical_precovid,Chennai,MAA,Kolkata,CCU,MAA-CCU,SpiceJet,SpiceJet,,2019-03-21,08:20,,,,Economy,3332.0,,,,,False
Data_Train.csv,2019_historical_precovid,Kolkata,CCU,Banglore,BLR,CCU-BLR,Jet Airways,Jet Airways,,2019-06-09,21:10,,,,Economy,10844.0,,,,,True
Data_Train.csv,2019_historical_precovid,Banglore,BLR,New Delhi,DEL,BLR-DEL,Jet Airways,Jet Airways,,2019-03-24,19:55,,,,Economy,7229.0,,,,,True
Data_Train.csv,2019_historical_precovid,Kolkata,CCU,Banglore,BLR,CCU-BLR,Jet Airways,Jet Airways,,2019-05-06,06:30,,,,Economy,13941.0,,,,,True
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,IndiGo,IndiGo,,2019-06-27,11:25,,,,Economy,5894.0,,,,,False
Data_Train.csv,2019_historical_precovid,Delhi,DEL,Cochin,COK,DEL-COK,Multiple carriers,Multiple Carriers,,2019-05-18,09:00,,,,Economy,10197.0,,,,,False
Data_Train.csv,2019_historical_precovid,Banglore,BLR,New Delhi,DEL,BLR-DEL,Jet Airways,Jet Airways,,2019-03-06,14:05,,,,Economy,13712.0,,,,,True
