record_id,source_file,dataset_tier,travel_date,airline_standardized,airline_raw,flight_number,origin_iata,dest_iata,route,origin_raw,dest_raw,departure_time,arrival_time,duration_minutes,duration_raw,cabin_class,total_fare_inr,base_fare_inr,taxes_fees_inr,search_timestamp,lead_time_days,is_defunct_carrier
REC_000001,data.csv,2022_real_observations,2022-02-14,IndiGo,IndiGo,,BOM,DEL,BOM-DEL,BOM,DEL,08:30,10:25,115,1h 55m,Economy,6153.0,,,,,False
REC_000002,data.csv,2022_real_observations,2022-02-14,IndiGo,IndiGo,,BOM,DEL,BOM-DEL,BOM,DEL,07:45,09:50,125,2h 05m,Economy,5943.0,,,,,False
REC_000003,data.csv,2022_real_observations,2022-02-14,Vistara,Vistara,,BOM,DEL,BOM-DEL,BOM,DEL,12:25,14:30,125,2h 05m,Economy,6249.0,,,,,False
REC_000004,data.csv,2022_real_observations,2022-02-14,IndiGo,IndiGo,,BOM,DEL,BOM-DEL,BOM,DEL,10:05,12:15,130,2h 10m,Economy,5943.0,,,,,False
REC_000005,data.csv,2022_real_observations,2022-02-14,IndiGo,IndiGo,,BOM,DEL,BOM-DEL,BOM,DEL,13:40,15:50,130,2h 10m,Economy,5943.0,,,,,False
REC_000006,data.csv,2022_real_observations,2022-02-14,IndiGo,IndiGo,,BOM,DEL,BOM-DEL,BOM,DEL,09:20,11:30,130,2h 10m,Economy,5943.0,,,,,False
REC_000007,data.csv,2022_real_observations,2022-02-14,Air India,Air India,,BOM,DEL,BOM-DEL,BOM,DEL,08:00,10:15,135,2h 15m,Economy,5943.0,,,,,False
REC_000008,data.csv,2022_real_observations,2022-02-14,Air India,Air India,,BOM,DEL,BOM-DEL,BOM,DEL,10:00,12:15,135,2h 15m,Economy,5943.0,,,,,False
REC_000009,data.csv,2022_real_observations,2022-02-14,Vistara,Vistara,,BOM,DEL,BOM-DEL,BOM,DEL,11:55,14:05,130,2h 10m,Economy,6249.0,,,,,False
REC_000010,data.csv,2022_real_observations,2022-02-14,IndiGo,IndiGo,,BOM,DEL,BOM-DEL,BOM,DEL,11:45,14:00,135,2h 15m,Economy,5943.0,,,,,False
REC_000011,data.csv,2022_real_observations,2022-02-14,SpiceJet,SpiceJet,,BOM,DEL,BOM-DEL,BOM,DEL,07:20,09:35,135,2h 15m,Economy,6540.0,,,,,False
REC_000012,data.csv,2022_real_observations,2022-02-14,SpiceJet,SpiceJet,,BOM,DEL,BOM-DEL,BOM,DEL,10:15,12:30,135,2h 15m,Economy,6540.0,,,,,False
REC_000013,data.csv,2022_real_observations,2022-02-14,Vistara,Vistara,,BOM,DEL,BOM-DEL,BOM,DEL,10:25,12:40,135,2h 15m,Economy,6249.0,,,,,False
REC_000014,data.csv,2022_real_observations,2022-02-14,Vistara,Vistara,,BOM,DEL,BOM-DEL,BOM,DEL,14:40,16:55,135,2h 15m,Economy,6249.0,,,,,False
REC_000015,data.csv,2022_real_observations,2022-02-14,Vistara,Vistara,,BOM,DEL,BOM-DEL,BOM,DEL,08:45,11:00,135,2h 15m,Economy,6360.0,,,,,False
REC_000016,data.csv,2022_real_observations,2022-02-14,IndiGo,IndiGo,,BOM,DEL,BOM-DEL,BOM,DEL,07:05,09:20,135,2h 15m,Economy,6153.0,,,,,False
REC_000017,data.csv,2022_real_observations,2022-02-14,AirAsia India,AirAsia India,,BOM,DEL,BOM-DEL,BOM,DEL,07:20,09:30,130,2h 10m,Economy,6967.0,,,,,False
REC_000018,data.csv,2022_real_observations,2022-02-14,Vistara,Vistara,,BOM,DEL,BOM-DEL,BOM,DEL,07:00,09:05,125,2h 05m,Economy,8245.0,,,,,False
REC_000019,data.csv,2022_real_observations,2022-02-14,Air India,Air India,,DEL,BOM,DEL-BOM,DEL,BOM,18:00,20:00,120,2h,Economy,5955.0,,,,,False
REC_000020,data.csv,2022_real_observations,2022-02-14,Go First,Go First,,DEL,BOM,DEL-BOM,DEL,BOM,15:30,17:35,125,2h 05m,Economy,5900.0,,,,,True
REC_000021,data.csv,2022_real_observations,2022-02-14,Go First,Go First,,DEL,BOM,DEL-BOM,DEL,BOM,17:00,19:05,125,2h 05m,Economy,5900.0,,,,,True
REC_000022,data.csv,2022_real_observations,2022-02-14,Air India,Air India,,DEL,BOM,DEL-BOM,DEL,BOM,20:00,22:10,130,2h 10m,Economy,5955.0,,,,,False
REC_000023,data.csv,2022_real_observations,2022-02-14,Go First,Go First,,DEL,BOM,DEL-BOM,DEL,BOM,22:30,00:40,130,2h 10m,Economy,5900.0,,,,,True
REC_000024,data.csv,2022_real_observations,2022-02-14,IndiGo,IndiGo,,DEL,BOM,DEL-BOM,DEL,BOM,17:15,19:25,130,2h 10m,Economy,5955.0,,,,,False
REC_000025,data.csv,2022_real_observations,2022-02-14,IndiGo,IndiGo,,DEL,BOM,DEL-BOM,DEL,BOM,18:40,20:50,130,2h 10m,Economy,5955.0,,,,,False
REC_000026,data.csv,2022_real_observations,2022-02-14,Air India,Air India,,DEL,BOM,DEL-BOM,DEL,BOM,19:00,21:15,135,2h 15m,Economy,5955.0,,,,,False
REC_000027,data.csv,2022_real_observations,2022-02-14,SpiceJet,SpiceJet,,DEL,BOM,DEL-BOM,DEL,BOM,18:55,21:05,130,2h 10m,Economy,6543.0,,,,,False
REC_000028,data.csv,2022_real_observations,2022-02-14,Vistara,Vistara,,DEL,BOM,DEL-BOM,DEL,BOM,15:30,17:40,130,2h 10m,Economy,6261.0,,,,,False
