airline,dgca_market_share_pct,observations_count,airline_apix_index,mean_fare_inr,median_fare_inr,min_fare_inr,max_fare_inr,coefficient_of_variation_pct
IndiGo,60.5,10836,147.47,5765.12,5600.0,500.0,49873.0,38.87
Air India,14.5,4176,194.69,7756.56,6950.0,1830.0,49873.0,46.61
Vistara,9.5,1859,143.95,6004.46,5613.0,1916.0,21730.0,47.96
SpiceJet,4.2,1784,118.88,4974.14,4434.5,1759.0,23267.0,44.36
Multiple Carriers,2.0,1196,283.75,10902.68,10197.0,5797.0,36983.0,34.13
Akasa Air,4.8,798,149.03,5687.71,5435.0,2450.0,17657.0,31.63
AirAsia India,5.5,433,143.84,5086.36,4639.0,2010.0,13774.0,40.86
AIX Connect,2.0,194,146.98,5610.41,5375.0,2980.0,14230.0,31.43
Multiple Carriers (Premium Economy),2.0,13,310.16,11418.85,11269.0,9845.0,14629.0,15.04
Vistara (Premium Economy),2.0,3,236.64,8962.33,9125.0,5969.0,11793.0,32.53
