route,origin_iata,dest_iata,origin_city,dest_city,origin_lat,origin_lon,dest_lat,dest_lon,dgca_traffic_weight_pct,observations_count,route_apix_index,mean_fare_inr,median_fare_inr,std_dev_inr,coefficient_of_variation_pct,stress_status,heatmap_intensity
BLR-HYD,BLR,HYD,BLR,HYD,13.1986,77.7066,13.1986,77.7066,3.5,510,246.21,10258.86,8264.0,7080.08,69.01,High Pressure,1.0
BOM-BLR,BOM,BLR,BOM,BLR,19.0896,72.8656,13.1986,77.7066,8.2,1132,280.75,11697.9,8305.5,6822.41,58.32,High Pressure,1.0
BOM-GOI,BOM,GOI,BOM,GOI,19.0896,72.8656,13.1986,77.7066,2.8,364,319.23,13301.24,11087.5,8808.62,66.22,High Pressure,1.0
BOM-HYD,BOM,HYD,BOM,HYD,19.0896,72.8656,13.1986,77.7066,4.8,482,284.67,11861.26,6934.0,16543.0,139.47,High Pressure,1.0
DEL-AMD,DEL,AMD,DEL,AMD,28.5562,77.1,13.1986,77.7066,2.4,462,234.75,9781.09,6299.0,11451.92,117.08,High Pressure,0.978108658008658
DEL-BLR,DEL,BLR,DEL,BLR,28.5562,77.1,13.1986,77.7066,9.8,1256,231.01,9625.3,9340.0,1011.59,10.51,High Pressure,0.962529617834395
DEL-BOM,DEL,BOM,DEL,BOM,28.5562,77.1,19.0896,72.8656,12.4,4231,191.76,7989.86,6880.0,3350.27,41.93,High Pressure,0.7989856606003308
DEL-CCU,DEL,CCU,DEL,CCU,28.5562,77.1,13.1986,77.7066,5.4,650,213.64,8901.78,8976.0,784.17,8.81,High Pressure,0.8901784615384615
DEL-GOI,DEL,GOI,DEL,GOI,28.5562,77.1,13.1986,77.7066,2.5,304,324.58,13524.13,13066.0,2959.28,21.88,High Pressure,1.0
DEL-HYD,DEL,HYD,DEL,HYD,28.5562,77.1,13.1986,77.7066,6.5,656,216.29,9012.26,8935.0,609.52,6.76,High Pressure,0.9012262195121952
DEL-LKO,DEL,LKO,DEL,LKO,28.5562,77.1,13.1986,77.7066,1.5,342,184.89,7703.81,4316.0,12645.44,164.15,High Pressure,0.7703812865497076
DEL-MAA,DEL,MAA,DEL,MAA,28.5562,77.1,13.1986,77.7066,4.5,518,351.18,14632.63,10559.0,11445.15,78.22,High Pressure,1.0
DEL-PAT,DEL,PAT,DEL,PAT,28.5562,77.1,13.1986,77.7066,1.6,388,157.71,6571.36,6520.0,343.57,5.23,Elevated,0.6571355670103093
DEL-SXR,DEL,SXR,DEL,SXR,28.5562,77.1,13.1986,77.7066,1.8,352,188.73,7863.6,7213.0,2313.34,29.42,High Pressure,0.7863596590909091
LKO-UDR,LKO,UDR,LKO,UDR,13.1986,77.7066,13.1986,77.7066,0.1,56,208.79,8699.5,8749.5,452.5,5.2,High Pressure,0.86995
UDR-BLR,UDR,BLR,UDR,BLR,13.1986,77.7066,13.1986,77.7066,0.1,84,332.46,13852.5,15113.5,3725.08,26.89,High Pressure,1.0
UDR-BOM,UDR,BOM,UDR,BOM,13.1986,77.7066,19.0896,72.8656,0.25,192,554.78,23115.74,8892.0,24155.98,104.5,High Pressure,1.0
UDR-DEL,UDR,DEL,UDR,DEL,13.1986,77.7066,28.5562,77.1,0.1,190,452.72,18863.47,8554.0,26054.0,138.12,High Pressure,1.0
UDR-LKO,UDR,LKO,UDR,LKO,13.1986,77.7066,13.1986,77.7066,0.1,84,214.24,8926.67,8950.0,548.7,6.15,High Pressure,0.8926666666666666
