record_id,search_timestamp,travel_date,lead_time_days,source_platform,origin_iata,dest_iata,route,origin_raw,dest_raw,airline_standardized,airline_raw,flight_number,departure_time,arrival_time,duration_minutes,duration_raw,cabin_class,total_fare_inr,base_fare_inr,taxes_fees_inr,is_nonstop,stops,raw_hash
SCR_GF_1789055783_001,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,,5:00 AM,7:20 AM,140,2 hr 20 min,Economy,6314.0,,,True,Non-stop,bd328b491ab0
SCR_GF_1789055783_002,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,10:15 AM,12:35 PM,140,2 hr 20 min,Economy,6425.0,,,True,Non-stop,6c715be2b836
SCR_GF_1789055783_003,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India Express,Air India Express,,5:35 AM,8:05 AM,150,2 hr 30 min,Economy,6610.0,,,True,Non-stop,74c2d592b700
SCR_GF_1789055783_004,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Akasa Air,Akasa Air,,10:30 AM,12:45 PM,135,2 hr 15 min,Economy,6880.0,,,True,Non-stop,6ded5683cbf1
SCR_GF_1789055783_005,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,8:15 AM,1:30 PM,315,5 hr 15 min,Economy,6195.0,,,False,1 stop,49336e008a5a
SCR_GF_1789055783_006,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,9:00 AM,1:50 PM,290,4 hr 50 min,Economy,6195.0,,,False,1 stop,d1b3f7bd5ebd
SCR_GF_1789055783_007,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,6:05 AM,8:20 AM,135,2 hr 15 min,Economy,6425.0,,,True,Non-stop,739e480a528c
SCR_GF_1789055783_008,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,7:15 AM,9:30 AM,135,2 hr 15 min,Economy,6425.0,,,True,Non-stop,4a651b4aadbc
SCR_GF_1789055783_009,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,8:00 AM,10:20 AM,140,2 hr 20 min,Economy,6425.0,,,True,Non-stop,2b38a640d030
SCR_GF_1789055783_010,2026-09-10 21:26:17,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,,9:30 AM,11:55 AM,145,2 hr 25 min,Economy,6425.0,,,True,Non-stop,7f1804efad77
