record_id,search_timestamp,travel_date,lead_time_days,source_platform,origin_iata,dest_iata,route,origin_raw,dest_raw,airline_standardized,airline_raw,flight_number,departure_time,arrival_time,duration_minutes,duration_raw,cabin_class,total_fare_inr,base_fare_inr,taxes_fees_inr,is_nonstop,raw_hash
SCR_GF_1789021349_001,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 200,2:45 PM,5:00 PM,135,2 hr 15 min,Economy,6425.0,,,True,cd4422db88cd
SCR_GF_1789021349_002,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 217,2:10 PM,4:30 PM,140,2 hr 20 min,Economy,6582.0,,,True,fc5b6485edfa
SCR_GF_1789021349_003,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Akasa Air,Akasa Air,QP 234,10:30 AM,12:45 PM,135,2 hr 15 min,Economy,6880.0,,,True,6ded5683cbf1
SCR_GF_1789021349_004,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 251,9:00 AM,1:45 PM,285,4 hr 45 min,Economy,6117.0,,,False,5f367cceb6fc
SCR_GF_1789021349_005,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,Air India,Air India,AI 268,5:00 AM,7:20 AM,140,2 hr 20 min,Economy,6314.0,,,True,bd328b491ab0
SCR_GF_1789021349_006,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 285,5:00 AM,7:15 AM,135,2 hr 15 min,Economy,6425.0,,,True,6818528f9c7a
SCR_GF_1789021349_007,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 302,6:05 AM,8:20 AM,135,2 hr 15 min,Economy,6425.0,,,True,739e480a528c
SCR_GF_1789021349_008,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 319,8:45 AM,11:00 AM,135,2 hr 15 min,Economy,6425.0,,,True,e6a35f4f0f78
SCR_GF_1789021349_009,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 336,9:30 AM,11:55 AM,145,2 hr 25 min,Economy,6425.0,,,True,7f1804efad77
SCR_GF_1789021349_010,2026-09-10 11:52:23,2026-09-11,1,google_flights,DEL,BOM,DEL-BOM,DEL,BOM,IndiGo,IndiGo,6E 353,10:15 AM,12:35 PM,140,2 hr 20 min,Economy,6425.0,,,True,6c715be2b836
