record_id,search_timestamp,travel_date,lead_time_days,source_platform,origin_iata,dest_iata,route,origin_raw,dest_raw,airline_standardized,airline_raw,flight_number,departure_time,arrival_time,duration_minutes,duration_raw,cabin_class,total_fare_inr,base_fare_inr,fuel_surcharge_inr,udf_psf_inr,gst_inr,convenience_fee_inr,taxes_fees_inr,is_nonstop,stops_count,stop_info,raw_hash
SCR_GF_1789193570_001,2026-09-12 11:42:46,2026-10-12,30,google_flights,DEL,BLR,DEL-BLR,DEL,BLR,Akasa Air,Akasa Air,QP 310,10:55 PM,2:05 AM,190,3 hr 10 min,Economy,9179.0,5484.69,2581.02,710.0,403.29,0.0,3694.31,True,0,Non-Stop,fd2df656b777
SCR_GF_1789193570_002,2026-09-12 11:42:46,2026-10-12,30,google_flights,DEL,BLR,DEL-BLR,DEL,BLR,Air India Express,Air India Express,IX 337,10:25 AM,1:20 PM,175,2 hr 55 min,Economy,9730.0,5841.52,2748.96,710.0,429.52,0.0,3888.48,True,0,Non-Stop,5ed206a9a417
SCR_GF_1789193570_003,2026-09-12 11:42:46,2026-10-12,30,google_flights,DEL,BLR,DEL-BLR,DEL,BLR,IndiGo,IndiGo,6E 364,1:15 PM,4:10 PM,175,2 hr 55 min,Economy,9943.0,5979.47,2813.86,710.0,439.67,0.0,3963.53,True,0,Non-Stop,01a2ff3ead6f
SCR_GF_1789193570_004,2026-09-12 11:42:46,2026-10-12,30,google_flights,DEL,BLR,DEL-BLR,DEL,BLR,Air India,Air India,AI 391,6:30 PM,9:25 PM,175,2 hr 55 min,Economy,9943.0,5979.47,2813.86,710.0,439.67,0.0,3963.53,True,0,Non-Stop,e9bf3b0bc801
SCR_GF_1789193570_005,2026-09-12 11:42:46,2026-10-12,30,google_flights,DEL,BLR,DEL-BLR,DEL,BLR,Air India Express,Air India Express,IX 418,5:35 PM,10:45 PM,310,5 hr 10 min,Economy,9264.0,5539.73,2606.94,710.0,407.33,0.0,3724.27,False,1,1 Stop,7cc546330623
SCR_GF_1789193570_006,2026-09-12 11:42:46,2026-10-12,30,google_flights,DEL,BLR,DEL-BLR,DEL,BLR,Air India Express,Air India Express,IX 445,9:00 PM,12:05 AM,185,3 hr 5 min,Economy,9430.0,5647.24,2657.52,710.0,415.24,0.0,3782.76,True,0,Non-Stop,ce4359e8ffa6
SCR_GF_1789193570_007,2026-09-12 11:42:46,2026-10-12,30,google_flights,DEL,BLR,DEL-BLR,DEL,BLR,Air India Express,Air India Express,IX 472,10:00 PM,12:55 AM,175,2 hr 55 min,Economy,9430.0,5647.24,2657.52,710.0,415.24,0.0,3782.76,True,0,Non-Stop,82cc3dc95d2a
SCR_GF_1789193570_008,2026-09-12 11:42:46,2026-10-12,30,google_flights,DEL,BLR,DEL-BLR,DEL,BLR,Akasa Air,Akasa Air,QP 499,8:50 PM,11:50 PM,180,3 hr,Economy,9678.0,5807.85,2733.1,710.0,427.05,0.0,3870.15,True,0,Non-Stop,6acf32da7ff0
SCR_GF_1789193570_009,2026-09-12 11:42:46,2026-10-12,30,google_flights,DEL,BLR,DEL-BLR,DEL,BLR,Akasa Air,Akasa Air,QP 526,9:55 PM,12:45 AM,170,2 hr 50 min,Economy,9678.0,5807.85,2733.1,710.0,427.05,0.0,3870.15,True,0,Non-Stop,12aa7f4c1a83
SCR_GF_1789193570_010,2026-09-12 11:42:46,2026-10-12,30,google_flights,DEL,BLR,DEL-BLR,DEL,BLR,IndiGo,IndiGo,6E 553,4:30 PM,9:20 PM,290,4 hr 50 min,Economy,9762.0,5862.25,2758.7,710.0,431.05,0.0,3899.75,False,1,1 Stop (NAG),5490a94888fe
